fold,model,RMSE,MAE,MAPE,R2,train_size,test_size,coin
5,GRU-Full,134.23381828801595,104.38999296768851,3.5412454233520156,0.9699956356695889,1592,184,ETH
1,LSTM-Price,4.777124554145528,2.6835195707238237,5.375611395388606,0.973226379229474,879,184,SOL
2,LSTM-Price,8.64805534985342,6.7501852566262945,4.493453331888424,0.8901303440022569,1057,184,SOL
3,LSTM-Price,9.853297362525145,7.2850183039126195,3.8524417595361538,0.9346541837460023,1235,184,SOL
4,LSTM-Price,7.907660164329106,6.196222242272418,3.9856288116221954,0.8910438840694824,1413,184,SOL
5,LSTM-Price,8.136880653619375,5.7386186566560164,4.119984228024381,0.9675590761571553,1592,184,SOL
1,LSTM-Sentiment,4.969668931146319,3.0178646153989046,5.843072138378573,0.971024636441155,879,184,SOL
2,LSTM-Sentiment,9.49182699019679,7.468419526141623,4.952473374567905,0.8676449638814465,1057,184,SOL
3,LSTM-Sentiment,10.878075557522832,8.215895961263906,4.375567911240533,0.9203549571612537,1235,184,SOL
4,LSTM-Sentiment,8.242308099344372,6.321361228279446,4.056217818483723,0.8816268218081444,1413,184,SOL
5,LSTM-Sentiment,7.953524747676956,5.757638135163681,4.031947275937581,0.9690046464372956,1592,184,SOL
1,LSTM-OnChain,5.668450820047625,3.4104393896849263,6.837378900661149,0.9623033511546811,879,184,SOL
2,LSTM-OnChain,9.9475824069692,7.793778606912364,5.217519968176043,0.8546296169529275,1057,184,SOL
3,LSTM-OnChain,10.76693308426421,8.079076010662575,4.237233681698861,0.9219741270866055,1235,184,SOL
4,LSTM-OnChain,8.688330432086316,7.062585888738217,4.605845595413785,0.8684689527098359,1413,184,SOL
5,LSTM-OnChain,9.029342649000899,6.728459351581076,5.038093036319608,0.9600525014692946,1592,184,SOL
1,LSTM-Full,5.797072006601028,3.898940323954043,8.191729744572665,0.9605732147158259,879,184,SOL
2,LSTM-Full,9.19395722994759,7.242804606893789,4.82431321209376,0.8758216737647054,1057,184,SOL
3,LSTM-Full,10.88885883596873,8.356873804175335,4.394114521119872,0.920196976947861,1235,184,SOL
4,LSTM-Full,8.329603852423604,6.307410056072733,4.029667347388878,0.8791061207010255,1413,184,SOL
5,LSTM-Full,8.221319168267016,6.016595744257388,4.178791519691886,0.9668822869641606,1592,184,SOL
1,GRU-Price,3.80603679415059,2.2532219082376232,4.674624414566426,0.9830050479781911,879,184,SOL
2,GRU-Price,7.465647507957112,5.756281756525454,3.846236168319454,0.9181203825025039,1057,184,SOL
3,GRU-Price,8.728932069161246,6.389614652550739,3.374365164997396,0.9487165970339745,1235,184,SOL
4,GRU-Price,7.1251020220157475,5.575810697804328,3.5996847674703942,0.9115418619763259,1413,184,SOL
5,GRU-Price,7.242606729550263,5.117483318163002,3.686759754957497,0.9742979875929222,1592,184,SOL
1,GRU-Sentiment,4.63435993145916,2.778838521708613,5.515679833141859,0.9748027294452297,879,184,SOL
2,GRU-Sentiment,8.387785011202654,6.355251128155253,4.198907483540604,0.8966440639508534,1057,184,SOL
3,GRU-Sentiment,9.17173288647653,6.847644246972124,3.6260686886236653,0.9433816245237596,1235,184,SOL
4,GRU-Sentiment,7.291527754551092,5.526896017323369,3.540905840283769,0.9073612501761444,1413,184,SOL
5,GRU-Sentiment,7.65381313436748,5.826125083591627,4.11245397690379,0.9712966206401075,1592,184,SOL
1,GRU-OnChain,5.019185766427644,3.18110172852226,6.586673092122478,0.9704443498250119,879,184,SOL
2,GRU-OnChain,9.537407179137947,7.466896234595257,4.9498964709185,0.866370761902584,1057,184,SOL
3,GRU-OnChain,9.108355556616495,6.659071846008302,3.494123547903638,0.9441613950914524,1235,184,SOL
4,GRU-OnChain,7.122911871073742,5.416657966945483,3.463805033972831,0.9115962350639893,1413,184,SOL
5,GRU-OnChain,7.57384931075338,5.499061680669371,3.99644083535182,0.9718932493046982,1592,184,SOL
1,GRU-Full,8.261548161166022,5.821970661826755,12.160946081503488,0.9199250168582178,879,184,SOL
2,GRU-Full,7.9846739362208545,6.079812948807427,4.004814906340775,0.9063397709724885,1057,184,SOL
3,GRU-Full,13.925418404357032,10.535999666296917,5.281302703056965,0.8694817885239328,1235,184,SOL
4,GRU-Full,7.554591054165055,6.0887802090852166,3.954175520182352,0.9005562394511649,1413,184,SOL
5,GRU-Full,6.969807814804511,5.157492558023205,3.659451126868175,0.9761976998546462,1592,184,SOL
