Date,Positive sentiment (Total) (SOL),Negative sentiment (Total) (SOL),Weighted sentiment (Total) (SOL),Social Dominance (SOL),Active Addresses 24h (SOL),Percent of Stablecoin Total Supply held by Whales with more than 5 million USD,Development Activity (SOL),Transaction Volume (SOL),Network Growth (SOL)
2021-08-17T00:00:00.000Z,613.673282623291,1293.272637069225,,2.697535293255,37489,50.921354022956,1098,176477875.52195126,100242
2021-08-18T00:00:00.000Z,541.013336539268,1293.272637069225,,2.697535293255,37489,50.921354022956,1098,176477875.52195126,100242
2021-08-19T00:00:00.000Z,321.509201705456,972.862937092781,0,1.936345572638,29679,49.111295084397,1248,131881070.19951203,75539
2021-08-20T00:00:00.000Z,359.699216783047,972.862937092781,,1.936345572638,29679,49.111295084397,1248,131881070.19951203,75539
2021-08-21T00:00:00.000Z,333.338566958904,972.862937092781,,1.936345572638,29679,49.111295084397,1248,131881070.19951203,75539
2021-08-22T00:00:00.000Z,208.87353259325,972.862937092781,,1.936345572638,29679,49.111295084397,1248,131881070.19951203,75539
2021-08-23T00:00:00.000Z,188.462398350239,972.862937092781,,1.936345572638,29679,49.111295084397,1248,131881070.19951203,75539
2021-08-24T00:00:00.000Z,223.668639302254,972.862937092781,,1.936345572638,29679,49.111295084397,1248,131881070.19951203,75539
2021-08-25T00:00:00.000Z,210.196695446968,972.862937092781,,1.936345572638,29679,49.111295084397,1248,131881070.19951203,75539
2021-08-26T00:00:00.000Z,203.526019513607,2398.987479865551,0,5.912271752816,87637,49.462304897368,1101,196288675.27117363,130780
2021-08-27T00:00:00.000Z,441.443363785744,2398.987479865551,,5.912271752816,87637,49.462304897368,1101,196288675.27117363,130780
2021-08-28T00:00:00.000Z,525.370460033417,2398.987479865551,,5.912271752816,87637,49.462304897368,1101,196288675.27117363,130780
2021-08-29T00:00:00.000Z,518.729985833168,2398.987479865551,,5.912271752816,87637,49.462304897368,1101,196288675.27117363,130780
2021-08-30T00:00:00.000Z,1711.352990865707,2398.987479865551,,5.912271752816,87637,49.462304897368,1101,196288675.27117363,130780
2021-08-31T00:00:00.000Z,2194.949180781841,2398.987479865551,,5.912271752816,87637,49.462304897368,1101,196288675.27117363,130780
2021-09-01T00:00:00.000Z,1117.871349394321,2398.987479865551,,5.912271752816,87637,49.462304897368,1101,196288675.27117363,130780
2021-09-02T00:00:00.000Z,590.332137167454,3502.879320383072,0,6.450734243014,100525,49.412805204183,1411,488756650.2906535,207587
2021-09-03T00:00:00.000Z,1036.812910735607,3502.879320383072,,6.450734243014,100525,49.412805204183,1411,488756650.2906535,207587
2021-09-04T00:00:00.000Z,658.146730482578,3502.879320383072,,6.450734243014,100525,49.412805204183,1411,488756650.2906535,207587
2021-09-05T00:00:00.000Z,501.089227020741,3502.879320383072,,6.450734243014,100525,49.412805204183,1411,488756650.2906535,207587
2021-09-06T00:00:00.000Z,836.398368358612,3502.879320383072,,6.450734243014,100525,49.412805204183,1411,488756650.2906535,207587
2021-09-07T00:00:00.000Z,1611.403734862804,3502.879320383072,,6.450734243014,100525,49.412805204183,1411,488756650.2906535,207587
