Date,price_open,price_high,price_low,price_close,price_volume,sentiment_positive,sentiment_negative,social_dominance,fear_greed,active_addresses,whale_stablecoin_pct,dev_activity,transaction_volume,network_growth
2022-01-12 00:00:00+00:00,140.19,153.39,138.22,151.51,1946788.76,1093.507109820843,1639.561061143875,2.306261573832,22,178757.0,54.650171509927,3904,296681174.66486514,201426.0
2022-01-13 00:00:00+00:00,151.5,157.8,145.41,146.14,1984121.59,1220.511011362076,1138.075884640217,2.374329885959,21,214740.0,55.845417553311,3294,319042292.6043307,436763.0
2022-01-14 00:00:00+00:00,146.13,150.56,141.84,146.17,1428145.3,1161.984378874302,1138.075884640217,2.374329885959,21,214740.0,55.845417553311,3294,319042292.6043307,436763.0
2022-01-15 00:00:00+00:00,146.18,149.49,143.9,147.64,865014.75,1029.39898198843,1138.075884640217,2.374329885959,23,214740.0,55.845417553311,3294,319042292.6043307,436763.0
2022-01-16 00:00:00+00:00,147.61,151.96,146.09,147.98,964270.14,1033.838005304337,1138.075884640217,2.374329885959,21,214740.0,55.845417553311,3294,319042292.6043307,436763.0
2022-01-17 00:00:00+00:00,147.98,148.29,137.02,139.8,1297654.14,898.174965441227,1138.075884640217,2.374329885959,22,214740.0,55.845417553311,3294,319042292.6043307,436763.0
2022-01-18 00:00:00+00:00,139.81,142.77,134.39,141.22,1254337.17,1092.118712723255,1138.075884640217,2.374329885959,24,214740.0,55.845417553311,3294,319042292.6043307,436763.0
2022-01-19 00:00:00+00:00,141.32,142.7,132.77,135.25,1175171.39,1110.251772224903,1138.075884640217,2.374329885959,24,214740.0,55.845417553311,3294,319042292.6043307,436763.0
2022-01-20 00:00:00+00:00,135.23,143.83,126.01,127.54,1464593.98,919.713344752789,1655.661022007465,2.946553849595,24,247061.0,55.624604278193,3739,528534390.9180884,590582.0
2022-01-21 00:00:00+00:00,127.54,128.73,106.11,112.27,4523020.69,1036.110040903091,1655.661022007465,2.946553849595,19,247061.0,55.624604278193,3739,528534390.9180884,590582.0
2022-01-22 00:00:00+00:00,112.24,114.89,87.73,94.54,6455608.98,1079.57705783844,1655.661022007465,2.946553849595,13,247061.0,55.624604278193,3739,528534390.9180884,590582.0
2022-01-23 00:00:00+00:00,94.57,104.82,93.25,99.78,3561751.04,1123.234969615936,1655.661022007465,2.946553849595,11,247061.0,55.624604278193,3739,528534390.9180884,590582.0
2022-01-24 00:00:00+00:00,99.74,99.83,80.83,91.93,6990036.71,1307.542758643627,1655.661022007465,2.946553849595,13,247061.0,55.624604278193,3739,528534390.9180884,590582.0
2022-01-25 00:00:00+00:00,91.94,99.95,87.41,94.67,3482711.32,1885.358815789223,1655.661022007465,2.946553849595,12,247061.0,55.624604278193,3739,528534390.9180884,590582.0
2022-01-26 00:00:00+00:00,94.65,104.43,89.19,92.12,4501340.69,1164.630442500114,1655.661022007465,2.946553849595,23,247061.0,55.624604278193,3739,528534390.9180884,590582.0
2022-01-27 00:00:00+00:00,92.11,94.6,85.71,89.51,3530017.76,883.504502534866,907.706227362156,2.675138857288,20,193514.0,53.951506737558,3773,624397683.0511485,637835.0
2022-01-28 00:00:00+00:00,89.51,93.55,87.21,91.34,2647317.17,1088.741280078888,907.706227362156,2.675138857288,24,193514.0,53.951506737558,3773,624397683.0511485,637835.0
2022-01-29 00:00:00+00:00,91.35,98.93,90.5,96.13,2050891.76,758.380685389042,907.706227362156,2.675138857288,24,193514.0,53.951506737558,3773,624397683.0511485,637835.0
2022-01-30 00:00:00+00:00,96.15,97.6,91.38,93.29,1258037.51,742.024721622467,907.706227362156,2.675138857288,29,193514.0,53.951506737558,3773,624397683.0511485,637835.0
2022-01-31 00:00:00+00:00,93.26,101.4,89.18,99.49,2414101.55,1024.989417672157,907.706227362156,2.675138857288,20,193514.0,53.951506737558,3773,624397683.0511485,637835.0
2022-02-01 00:00:00+00:00,99.5,113.66,99.02,110.02,4190507.65,1082.484305381775,907.706227362156,2.675138857288,26,193514.0,53.951506737558,3773,624397683.0511485,637835.0
2022-02-02 00:00:00+00:00,109.99,112.35,96.99,101.88,4863358.1,1268.892813444138,907.706227362156,2.675138857288,28,193514.0,53.951506737558,3773,624397683.0511485,637835.0
2022-02-03 00:00:00+00:00,101.91,103.13,94.0,101.77,3886563.56,1537.562550783157,1108.438756048679,2.733820899984,20,181297.0,53.800934330005,3737,513302567.6951182,263488.0
2022-02-04 00:00:00+00:00,101.83,112.81,100.28,112.62,4186388.28,1222.82659560442,1108.438756048679,2.733820899984,20,181297.0,53.800934330005,3737,513302567.6951182,263488.0
2022-02-05 00:00:00+00:00,112.63,118.6,110.22,113.75,2649019.14,957.156129896641,1108.438756048679,2.733820899984,33,181297.0,53.800934330005,3737,513302567.6951182,263488.0
2022-02-06 00:00:00+00:00,113.74,116.06,111.09,115.28,1561795.12,947.138071775436,1108.438756048679,2.733820899984,37,181297.0,53.800934330005,3737,513302567.6951182,263488.0
2022-02-07 00:00:00+00:00,115.26,121.93,112.69,117.55,2730695.8,1108.86593401432,1108.438756048679,2.733820899984,45,181297.0,53.800934330005,3737,513302567.6951182,263488.0
2022-02-08 00:00:00+00:00,117.57,120.36,109.66,113.45,2811497.5,933.711053848267,1108.438756048679,2.733820899984,48,181297.0,53.800934330005,3737,513302567.6951182,263488.0
2022-02-09 00:00:00+00:00,113.44,117.08,109.4,113.93,2114411.38,660.409303605556,1108.438756048679,2.733820899984,54,181297.0,53.800934330005,3737,513302567.6951182,263488.0
2022-02-10 00:00:00+00:00,113.96,115.38,105.68,106.17,2781581.77,702.528267025948,508.051446199417,1.686011482603,50,211300.0,54.103770478886,2973,345796943.2452996,434966.0
2022-02-11 00:00:00+00:00,106.18,108.14,95.14,96.53,2537227.68,539.206903100014,508.051446199417,1.686011482603,50,211300.0,54.103770478886,2973,345796943.2452996,434966.0
2022-02-12 00:00:00+00:00,96.53,99.79,92.8,95.96,1803930.67,468.137202620506,508.051446199417,1.686011482603,44,211300.0,54.103770478886,2973,345796943.2452996,434966.0
2022-02-13 00:00:00+00:00,95.98,97.36,91.35,92.85,1216083.38,701.37031006813,508.051446199417,1.686011482603,44,211300.0,54.103770478886,2973,345796943.2452996,434966.0
2022-02-14 00:00:00+00:00,92.85,97.99,90.72,96.37,1792721.3,590.057556331158,508.051446199417,1.686011482603,46,211300.0,54.103770478886,2973,345796943.2452996,434966.0
2022-02-15 00:00:00+00:00,96.39,105.77,96.38,105.52,2362223.45,542.782750844955,508.051446199417,1.686011482603,46,211300.0,54.103770478886,2973,345796943.2452996,434966.0
2022-02-16 00:00:00+00:00,105.52,105.6,98.27,101.86,2123159.11,603.829740583897,508.051446199417,1.686011482603,51,211300.0,54.103770478886,2973,345796943.2452996,434966.0
2022-02-17 00:00:00+00:00,101.85,102.82,92.33,93.52,2001081.3,547.976160824299,453.822868943214,1.791015479028,52,211269.0,53.839385752176,2792,323624364.6740963,273369.0
2022-02-18 00:00:00+00:00,93.55,96.37,89.31,89.86,2010076.65,584.49035847187,453.822868943214,1.791015479028,30,211269.0,53.839385752176,2792,323624364.6740963,273369.0
2022-02-19 00:00:00+00:00,89.86,92.75,88.6,91.27,1285578.14,449.865658283234,453.822868943214,1.791015479028,25,211269.0,53.839385752176,2792,323624364.6740963,273369.0
2022-02-20 00:00:00+00:00,91.27,94.5,85.56,90.72,2559473.54,545.580881595612,453.822868943214,1.791015479028,27,211269.0,53.839385752176,2792,323624364.6740963,273369.0
2022-02-21 00:00:00+00:00,90.7,96.14,82.62,82.96,4063082.8,736.287911891937,453.822868943214,1.791015479028,25,211269.0,53.839385752176,2792,323624364.6740963,273369.0
2022-02-22 00:00:00+00:00,82.95,87.56,81.06,86.38,2835554.36,664.851555109024,453.822868943214,1.791015479028,20,211269.0,53.839385752176,2792,323624364.6740963,273369.0
2022-02-23 00:00:00+00:00,86.39,93.4,84.38,84.59,3193694.1,989.813328266144,453.822868943214,1.791015479028,25,211269.0,53.839385752176,2792,323624364.6740963,273369.0
2022-02-24 00:00:00+00:00,84.58,93.9,75.35,89.36,7497540.08,507.528288960457,365.432128429413,1.902061986521,23,165095.0,53.879076874304,3170,390726374.6747606,198711.0
