Date,Social Dominance (ETH),Positive sentiment (Total) (ETH),Negative sentiment (Total) (ETH),Weighted sentiment (Total) (ETH),Development Activity (ETH),MVRV Ratio (1d) (ETH),NVT Ratio (with Transaction Volume) (ETH),Active Addresses 24h (ETH),Supply on Exchanges (ETH),Whale Transaction Count (>100k USD) (ETH),Percent of Stablecoin Total Supply held by Whales with more than 5 million USD,Transaction Volume (ETH),Network Growth (ETH)
2025-01-03T00:00:00.000Z,5.375600059975,1944.984654963017,1167.85022687912,-0.600340424205,1568,-0.0030574820430000482,68.448294101731,472790,15104586.638833387,63827,47.189737513688,16038607.069831802,734717
2025-01-04T00:00:00.000Z,6.205018912702,1944.984654963017,1167.85022687912,-0.600340424205,1568,-0.0030574820430000482,68.448294101731,472790,15104586.638833387,63827,47.189737513688,16038607.069831802,734717
2025-01-05T00:00:00.000Z,5.922477676318,1944.984654963017,1167.85022687912,-0.600340424205,1568,-0.0030574820430000482,68.448294101731,472790,15104586.638833387,63827,47.189737513688,16038607.069831802,734717
2025-01-06T00:00:00.000Z,6.331677036783,1944.984654963017,1167.85022687912,-0.600340424205,1568,-0.0030574820430000482,68.448294101731,472790,15104586.638833387,63827,47.189737513688,16038607.069831802,734717
2025-01-07T00:00:00.000Z,5.861253890719,1944.984654963017,1167.85022687912,-0.600340424205,1568,-0.0030574820430000482,68.448294101731,472790,15104586.638833387,63827,47.189737513688,16038607.069831802,734717
2025-01-08T00:00:00.000Z,6.411679777038,1944.984654963017,1167.85022687912,-0.600340424205,1568,-0.0030574820430000482,68.448294101731,472790,15104586.638833387,63827,47.189737513688,16038607.069831802,734717
2025-01-09T00:00:00.000Z,5.705040009524,1792.275335550308,1171.923897206783,-0.580753857204,2033,0.03557569491099999,69.749454624696,511451,14887969.66195022,60651,47.025563495409,16077374.353300583,707947
2025-01-10T00:00:00.000Z,4.597392918169,1792.275335550308,1171.923897206783,-0.580753857204,2033,0.03557569491099999,69.749454624696,511451,14887969.66195022,60651,47.025563495409,16077374.353300583,707947
2025-01-11T00:00:00.000Z,4.778112322294,1792.275335550308,1171.923897206783,-0.580753857204,2033,0.03557569491099999,69.749454624696,511451,14887969.66195022,60651,47.025563495409,16077374.353300583,707947
2025-01-12T00:00:00.000Z,4.915660528528,1792.275335550308,1171.923897206783,-0.580753857204,2033,0.03557569491099999,69.749454624696,511451,14887969.66195022,60651,47.025563495409,16077374.353300583,707947
2025-01-13T00:00:00.000Z,7.044389801437,1792.275335550308,1171.923897206783,-0.580753857204,2033,0.03557569491099999,69.749454624696,511451,14887969.66195022,60651,47.025563495409,16077374.353300583,707947
2025-01-14T00:00:00.000Z,7.224165652369,1792.275335550308,1171.923897206783,-0.580753857204,2033,0.03557569491099999,69.749454624696,511451,14887969.66195022,60651,47.025563495409,16077374.353300583,707947
2025-01-15T00:00:00.000Z,6.033787993823,1792.275335550308,1171.923897206783,-0.580753857204,2033,0.03557569491099999,69.749454624696,511451,14887969.66195022,60651,47.025563495409,16077374.353300583,707947
2025-01-16T00:00:00.000Z,7.436107969537,3973.789180934429,3210.652959346771,0.168809870538,2249,-0.015263079086999976,43.348951838953,543880,14975817.292458389,87747,47.148037118831,23570926.8416482,981487
2025-01-17T00:00:00.000Z,7.299417601713,3973.789180934429,3210.652959346771,0.168809870538,2249,-0.015263079086999976,43.348951838953,543880,14975817.292458389,87747,47.148037118831,23570926.8416482,981487
2025-01-18T00:00:00.000Z,9.390355944141,3973.789180934429,3210.652959346771,0.168809870538,2249,-0.015263079086999976,43.348951838953,543880,14975817.292458389,87747,47.148037118831,23570926.8416482,981487
