coin,run,model,RMSE,MAE,MAPE,R2,epochs,final_lr
ETH,1,GRU-OnChain,158.36778628443997,124.93166105850877,4.342026218460161,0.9582367551287436,60,3.125000148429535e-05
ETH,1,GRU-Full,134.53658545897363,103.68773233164907,3.5359449330044828,0.9698601320897053,70,3.125000148429535e-05
ETH,2,LSTM-Price,147.97418682372427,112.45285501231314,3.7505940889128864,0.9635386733424477,102,3.906250185536919e-06
ETH,2,LSTM-Sentiment,154.49689441390294,117.27453777810803,3.8031211302715593,0.9602533939383546,97,7.812500371073838e-06
ETH,2,LSTM-OnChain,163.39029252571135,126.41116224206007,4.349798812985085,0.9555457750189271,58,3.125000148429535e-05
ETH,2,LSTM-Full,152.92577189956106,120.00695492951763,4.010874202094579,0.9610576724759339,106,3.906250185536919e-06
ETH,2,GRU-Price,125.29644831803333,91.42070020592726,3.0355957040251726,0.9738580449476764,107,1.9531250927684596e-06
ETH,2,GRU-Sentiment,132.5869975995835,100.62660583496098,3.2739139692469563,0.9707273247345236,85,7.812500371073838e-06
ETH,2,GRU-OnChain,139.96524136944163,105.43563810929007,3.5321596617974613,0.9673787245540137,81,7.812500371073838e-06
ETH,2,GRU-Full,165.47843273654945,130.38708052925438,4.67256113735496,0.9544022576276506,51,0.0001250000059371814
ETH,3,LSTM-Price,143.27451724945166,108.23557683530058,3.607453776378927,0.9658179228446588,92,7.812500371073838e-06
ETH,3,LSTM-Sentiment,191.092223284824,139.1422826617696,4.660583730350045,0.939193981246787,32,0.0001250000059371814
ETH,3,LSTM-OnChain,174.82499988994536,138.54740271526825,4.9236937041702555,0.9491058792613024,74,3.125000148429535e-05
ETH,3,LSTM-Full,208.02717070509166,161.05727884043813,5.851475502578443,0.9279389364839439,44,6.25000029685907e-05
ETH,3,GRU-Price,127.37887384736857,93.13623657226557,3.105811094245227,0.9729818659274859,109,3.906250185536919e-06
ETH,3,GRU-Sentiment,128.2152719366376,95.79624766474183,3.1709101474945665,0.972625886847033,58,6.25000029685907e-05
ETH,3,GRU-OnChain,181.4796496522695,144.0485235330332,5.134704143993151,0.9451576057026788,84,1.5625000742147677e-05
ETH,3,GRU-Full,164.69497820816224,127.84875318444287,4.525369965102071,0.9548329988478423,69,6.25000029685907e-05
ETH,4,LSTM-Price,139.90605167786012,105.54519624129581,3.5140364675104756,0.9674063090449638,123,9.765625463842298e-07
ETH,4,LSTM-Sentiment,155.63457579020027,118.25659004543141,3.823962147700086,0.9596658680210184,62,3.125000148429535e-05
ETH,4,LSTM-OnChain,150.90522380931912,118.38912571119222,4.102038717634496,0.9620799335189991,117,1.9531250927684596e-06
ETH,4,LSTM-Full,159.686241630223,120.53236911939541,3.8874274809058327,0.9575384795267587,99,1.9531250927684596e-06
ETH,4,GRU-Price,137.64541642126306,101.54849402386202,3.422990038935129,0.9684511124224955,80,1.5625000742147677e-05
ETH,4,GRU-Sentiment,128.70307882470115,96.64525605574897,3.191879780254924,0.9724171959064578,74,3.125000148429535e-05
ETH,4,GRU-OnChain,149.91336067494103,113.83647166376524,3.948561388576135,0.9625767739782055,49,6.25000029685907e-05
ETH,4,GRU-Full,145.9661551747817,111.80375368864634,3.864648927837617,0.964521530242996,47,0.0001250000059371814
ETH,5,LSTM-Price,147.31712892348403,112.12919003693949,3.7409720229148355,0.963861756901896,101,7.812500371073838e-06
ETH,5,LSTM-Sentiment,221.04187866287685,183.4100995934528,6.520385838311707,0.9186402381677504,30,0.0001250000059371814
ETH,5,LSTM-OnChain,156.0377345904816,122.58894220766808,4.203567513828017,0.959456632744627,105,3.906250185536919e-06
ETH,5,LSTM-Full,166.79497528600254,126.11683492909299,4.301919620486587,0.9536738222529983,53,6.25000029685907e-05
ETH,5,GRU-Price,133.93510829832164,99.1351012918223,3.313886215139715,0.9701290242783768,71,3.125000148429535e-05
ETH,5,GRU-Sentiment,167.3395739438898,125.79469713293979,4.132463128604854,0.9533708111844977,32,0.0001250000059371814
ETH,5,GRU-OnChain,142.42556389889185,109.08151465374486,3.7163780679572094,0.9662218050629544,77,1.5625000742147677e-05
ETH,5,GRU-Full,139.95396434999785,106.06491879670513,3.5879671779465343,0.9673839809438743,63,3.125000148429535e-05
SOL,1,LSTM-Price,8.2154353669043,5.712302667369013,4.073009979538629,0.9669296731107105,136,4.882812731921149e-07
SOL,1,LSTM-Sentiment,8.403047336862771,6.130140324468199,4.260731991804137,0.9654020042217576,97,7.812500371073838e-06
SOL,1,LSTM-OnChain,7.9134529357403025,5.652631398076596,4.071310918620662,0.969316184067939,100,7.812500371073838e-06
SOL,1,LSTM-Full,8.472933296083323,6.134093145287556,4.261889860355099,0.9648241260767974,102,7.812500371073838e-06
