Date,Positive sentiment (Total),Negative sentiment (Total),Weighted sentiment (Total),Social Dominance,Active Addresses 24h,MVRV Ratio (1d),NVT Ratio (with Transaction Volume),Supply on Exchanges,Whale Transaction Count (>100k USD),Percent of Stablecoin Total Supply held by Whales with more than 5 million USD,Development Activity,Transaction Volume,Network Growth
2021-04-29T00:00:00.000Z,3205.433640182018,1638.988643229008,0,19.156229023208,1210517,0.013342873757999918,43.744295300038,3026559.0105852573,134369,49.039774037449,636,3567640.855848191,3265478
2021-04-30T00:00:00.000Z,2756.267357707024,1323.427526473999,0,18.45985013394,1210517,0.013342873757999918,43.744295300038,3026559.0105852573,134369,49.039774037449,636,3567640.855848191,3265478
2021-05-01T00:00:00.000Z,2258.682295620441,1310.287972331047,0,17.314460330869,1210517,0.013342873757999918,43.744295300038,3026559.0105852573,134369,49.039774037449,636,3567640.855848191,3265478
2021-05-02T00:00:00.000Z,2883.595957815647,1366.55261528492,0,18.359261817051,1210517,0.013342873757999918,43.744295300038,3026559.0105852573,134369,49.039774037449,636,3567640.855848191,3265478
2021-05-03T00:00:00.000Z,2925.193635344505,1909.361117303371,0,17.124278784217,1210517,0.013342873757999918,43.744295300038,3026559.0105852573,134369,49.039774037449,636,3567640.855848191,3265478
2021-05-04T00:00:00.000Z,3379.483413219452,2323.582227289677,0,16.636093983864,1210517,0.013342873757999918,43.744295300038,3026559.0105852573,134369,49.039774037449,636,3567640.855848191,3265478
2021-05-05T00:00:00.000Z,3303.707651674747,2065.744239628315,0,14.550380958812,1210517,0.013342873757999918,43.744295300038,3026559.0105852573,134369,49.039774037449,636,3567640.855848191,3265478
2021-05-06T00:00:00.000Z,2928.524266541004,1714.517593502998,0,13.869868807607,1262008,-0.10447563272000004,34.200032995819,3043322.7733878056,147431,49.106855718915,565,4021144.4839409557,3598159
2021-05-07T00:00:00.000Z,2908.31377184391,1582.144248366356,0,13.97683176178,1262008,-0.10447563272000004,34.200032995819,3043322.7733878056,147431,49.106855718915,565,4021144.4839409557,3598159
2021-05-08T00:00:00.000Z,3078.644363462925,1813.033661663532,0,14.064230438618,1262008,-0.10447563272000004,34.200032995819,3043322.7733878056,147431,49.106855718915,565,4021144.4839409557,3598159
2021-05-09T00:00:00.000Z,2835.071231424809,1872.456131339073,0,11.873502697105,1262008,-0.10447563272000004,34.200032995819,3043322.7733878056,147431,49.106855718915,565,4021144.4839409557,3598159
2021-05-10T00:00:00.000Z,3044.612082540989,2167.198743641376,0,14.078244099122,1262008,-0.10447563272000004,34.200032995819,3043322.7733878056,147431,49.106855718915,565,4021144.4839409557,3598159
2021-05-11T00:00:00.000Z,2705.558458328247,1573.926013350487,0,14.799786655788,1262008,-0.10447563272000004,34.200032995819,3043322.7733878056,147431,49.106855718915,565,4021144.4839409557,3598159
2021-05-12T00:00:00.000Z,3926.373630523682,2736.88929015398,0,18.064659503436,1262008,-0.10447563272000004,34.200032995819,3043322.7733878056,147431,49.106855718915,565,4021144.4839409557,3598159
2021-05-13T00:00:00.000Z,6713.74952685833,5422.096594333649,0,29.454853546758,1025225,-0.03499244369200005,18.389569250874,3088497.280553083,151845,49.053149583083,682,7555584.139520071,3037313
2021-05-14T00:00:00.000Z,3755.616046726704,2357.502908408642,0,21.81851332803,1025225,-0.03499244369200005,18.389569250874,3088497.280553083,151845,49.053149583083,682,7555584.139520071,3037313
2021-05-15T00:00:00.000Z,3459.996920287609,2853.794236719608,0,20.865745340528,1025225,-0.03499244369200005,18.389569250874,3088497.280553083,151845,49.053149583083,682,7555584.139520071,3037313
2021-05-16T00:00:00.000Z,4892.766904890537,4137.571672260761,0,24.555639475888,1025225,-0.03499244369200005,18.389569250874,3088497.280553083,151845,49.053149583083,682,7555584.139520071,3037313
2021-05-17T00:00:00.000Z,4721.388963639736,3855.066350877285,0,30.20284981483,1025225,-0.03499244369200005,18.389569250874,3088497.280553083,151845,49.053149583083,682,7555584.139520071,3037313
2021-05-18T00:00:00.000Z,3766.820141673088,2386.901947855949,0,24.036232014965,1025225,-0.03499244369200005,18.389569250874,3088497.280553083,151845,49.053149583083,682,7555584.139520071,3037313
2021-05-19T00:00:00.000Z,5828.041131615639,5561.093234777451,0,32.769004974567,1025225,-0.03499244369200005,18.389569250874,3088497.280553083,151845,49.053149583083,682,7555584.139520071,3037313
2021-05-20T00:00:00.000Z,4517.695066332817,2799.683569669724,0,26.241188441617,940643,0.004910461021000012,16.009085591559,3096472.5113383867,128493,51.021048072351,672,8378889.426847789,2768842
2021-05-21T00:00:00.000Z,4063.646274328232,3526.883133888245,0,29.667111885333,940643,0.004910461021000012,16.009085591559,3096472.5113383867,128493,51.021048072351,672,8378889.426847789,2768842
2021-05-22T00:00:00.000Z,3893.526773393154,2793.46611303091,0,29.8542667335,940643,0.004910461021000012,16.009085591559,3096472.5113383867,128493,51.021048072351,672,8378889.426847789,2768842
2021-05-23T00:00:00.000Z,4299.236976921558,3806.488571822643,0,29.911146391089,940643,0.004910461021000012,16.009085591559,3096472.5113383867,128493,51.021048072351,672,8378889.426847789,2768842
2021-05-24T00:00:00.000Z,4456.892611145973,2455.732394933701,0,29.033062184786,940643,0.004910461021000012,16.009085591559,3096472.5113383867,128493,51.021048072351,672,8378889.426847789,2768842
2021-05-25T00:00:00.000Z,3686.370158135891,1889.298382461071,0,26.669276183973,940643,0.004910461021000012,16.009085591559,3096472.5113383867,128493,51.021048072351,672,8378889.426847789,2768842
2021-05-26T00:00:00.000Z,3189.612939059734,1831.391720414162,0,23.433296704435,940643,0.004910461021000012,16.009085591559,3096472.5113383867,128493,51.021048072351,672,8378889.426847789,2768842
2021-05-27T00:00:00.000Z,3014.667021214962,1867.328407227993,0,24.586563303933,1082877,0.0017145641100000386,28.188523753828,3102572.7834974886,99011,51.589159512028,549,6457215.006454995,2620491
2021-05-28T00:00:00.000Z,3326.745992302895,2032.366116225719,0,30.056285530655,1082877,0.0017145641100000386,28.188523753828,3102572.7834974886,99011,51.589159512028,549,6457215.006454995,2620491
2021-05-29T00:00:00.000Z,3206.895578444004,1890.305884242058,0,28.805623480464,1082877,0.0017145641100000386,28.188523753828,3102572.7834974886,99011,51.589159512028,549,6457215.006454995,2620491
2021-05-30T00:00:00.000Z,2783.765148997307,1575.950342059135,0,26.28410122349,1082877,0.0017145641100000386,28.188523753828,3102572.7834974886,99011,51.589159512028,549,6457215.006454995,2620491
2021-05-31T00:00:00.000Z,2911.32706451416,1669.520543038845,0,26.40190174466,1082877,0.0017145641100000386,28.188523753828,3102572.7834974886,99011,51.589159512028,549,6457215.006454995,2620491
2021-06-01T00:00:00.000Z,2751.552015960217,1380.496221661568,0,24.604128896275,1082877,0.0017145641100000386,28.188523753828,3102572.7834974886,99011,51.589159512028,549,6457215.006454995,2620491
2021-06-02T00:00:00.000Z,2530.640038967133,1323.330969631672,0,21.336021858343,1082877,0.0017145641100000386,28.188523753828,3102572.7834974886,99011,51.589159512028,549,6457215.006454995,2620491
2021-06-03T00:00:00.000Z,2977.55103212595,1312.419966757298,0,21.867159658854,815586,0.04119723548299992,32.397162419928,3080143.8603634713,91476,51.505794361916,484,5600882.53086372,2699197
2021-06-04T00:00:00.000Z,3760.429692983627,2285.205110907555,0,30.292055105858,815586,0.04119723548299992,32.397162419928,3080143.8603634713,91476,51.505794361916,484,5600882.53086372,2699197
2021-06-05T00:00:00.000Z,3451.634858012199,2028.200002193451,0,31.196167050928,815586,0.04119723548299992,32.397162419928,3080143.8603634713,91476,51.505794361916,484,5600882.53086372,2699197
2021-06-06T00:00:00.000Z,3372.295380413532,1786.757202863693,0,30.792072080923,815586,0.04119723548299992,32.397162419928,3080143.8603634713,91476,51.505794361916,484,5600882.53086372,2699197
2021-06-07T00:00:00.000Z,3388.695507228374,2473.376544058323,0,31.145449555599,815586,0.04119723548299992,32.397162419928,3080143.8603634713,91476,51.505794361916,484,5600882.53086372,2699197
2021-06-08T00:00:00.000Z,4185.117852449417,3548.598358929157,0,36.689776764442,815586,0.04119723548299992,32.397162419928,3080143.8603634713,91476,51.505794361916,484,5600882.53086372,2699197
2021-06-09T00:00:00.000Z,5547.086461544037,2625.650365352631,0,37.070961232291,815586,0.04119723548299992,32.397162419928,3080143.8603634713,91476,51.505794361916,484,5600882.53086372,2699197
2021-06-10T00:00:00.000Z,4099.119093120098,2298.998217999935,0,32.902855421232,951334,-0.021109649167999955,47.131939227961,3065593.2089697863,90480,52.504449648365,663,3067775.9653365314,2798003
2021-06-11T00:00:00.000Z,3413.20906573534,1683.155491292477,0,28.77117189287,951334,-0.021109649167999955,47.131939227961,3065593.2089697863,90480,52.504449648365,663,3067775.9653365314,2798003
2021-06-12T00:00:00.000Z,2603.748820841312,1591.166020929813,0,27.187291553434,951334,-0.021109649167999955,47.131939227961,3065593.2089697863,90480,52.504449648365,663,3067775.9653365314,2798003
2021-06-13T00:00:00.000Z,3011.33731764555,1593.377766430378,0,29.521454413984,951334,-0.021109649167999955,47.131939227961,3065593.2089697863,90480,52.504449648365,663,3067775.9653365314,2798003
